elapsed_time_s,cpu_percent,system_memory_percent,system_memory_used_mb,process_rss_mb
42.035677433013916,36.8,15.1,1214.40625,1173.765625
42.53635811805725,36.8,15.1,1215.21875,1173.34375
43.03680229187012,36.2,15.1,1215.40625,1173.796875
43.53748393058777,36.8,15.0,1211.875,1173.34375
44.038100719451904,36.2,15.0,1207.296875,1173.765625
44.538514614105225,36.7,15.0,1207.390625,1173.828125
45.0391366481781,37.3,15.0,1206.640625,1173.796875
45.53953766822815,36.0,15.0,1206.421875,1174.078125
46.04015135765076,36.8,15.0,1207.03125,1159.171875
46.54053044319153,30.7,14.9,1204.4375,1145.390625
47.04086232185364,22.9,14.9,1201.703125,1145.171875
47.54118514060974,36.7,14.9,1202.5625,1144.96875
48.041537284851074,48.0,14.8,1196.078125,1162.90625
48.54399275779724,36.1,14.8,1194.328125,1134.921875
49.04434943199158,30.0,15.0,1207.484375,1150.4375
49.54476189613342,43.0,14.9,1198.015625,1134.6875
50.045146226882935,37.0,14.9,1203.03125,1154.828125
50.545772314071655,36.5,14.8,1193.8125,1134.6875
51.04611682891846,36.5,14.8,1195.09375,1135.515625
51.54647183418274,31.8,14.9,1198.5625,1151.5
52.04687166213989,37.2,14.9,1202.296875,1144.96875
52.54721188545227,23.5,14.9,1202.03125,1145.4375
53.047558069229126,36.3,14.9,1202.0625,1144.96875
53.54791021347046,37.3,14.9,1202.328125,1145.34375
54.04833912849426,47.7,14.8,1192.109375,1145.28125
54.54882764816284,37.0,14.8,1189.578125,1145.3125
55.051995277404785,33.8,14.9,1198.90625,1135.0625
55.55232834815979,27.5,14.9,1198.578125,1145.703125
56.052663803100586,36.3,14.9,1198.875,1145.453125
56.5543327331543,37.5,14.9,1200.09375,1144.96875
57.054802894592285,35.7,14.9,1198.90625,1145.40625
57.55516600608826,36.2,14.9,1199.15625,1145.390625
58.05554175376892,37.0,14.8,1195.78125,1145.40625
58.55591917037964,48.3,14.9,1197.5625,1173.734375
59.056591510772705,35.9,14.9,1198.546875,1173.796875
59.55728769302368,36.5,14.8,1196.921875,1173.34375
60.057979345321655,36.8,14.9,1197.828125,1173.34375
60.55858039855957,37.0,14.8,1196.75,1173.78125
61.058998584747314,36.2,14.8,1192.703125,1174.375
61.55964922904968,37.6,15.0,1208.859375,1174.65625
62.064003467559814,28.6,15.0,1209.53125,1146.296875
62.5644326210022,39.3,15.0,1209.734375,1151.125
63.06503200531006,37.2,15.0,1208.875,1134.46875
63.56540513038635,29.9,15.0,1208.6875,1145.6875
64.06577968597412,36.5,15.0,1206.6875,1175.203125
64.566157579422,38.1,15.0,1207.5625,1173.75
65.06673383712769,37.2,15.0,1211.390625,1174.296875
65.56738209724426,36.5,15.0,1211.90625,1174.625
66.06802749633789,36.7,15.0,1210.4375,1174.25
66.56847047805786,36.3,15.0,1207.453125,1173.828125
67.06911015510559,36.8,14.9,1200.859375,1148.515625
67.56977891921997,37.0,15.0,1207.171875,1173.71875
68.0703752040863,36.7,15.0,1210.0625,1173.703125
68.57101464271545,36.5,15.0,1209.390625,1174.234375
69.07142758369446,36.3,15.0,1209.4375,1173.765625
69.572012424469,37.0,15.0,1209.890625,1173.71875
70.07241463661194,36.2,15.0,1209.109375,1174.21875
70.5728223323822,36.4,15.0,1209.53125,1173.71875
71.0734224319458,36.5,15.0,1206.359375,1145.3125
71.57601475715637,38.4,15.0,1209.140625,1145.8125
72.07647824287415,42.7,15.0,1206.5625,1134.90625
72.57681059837341,38.0,14.9,1200.21875,1135.109375
73.07715010643005,36.5,14.9,1202.453125,1134.609375
73.57748413085938,39.8,14.8,1192.546875,1135.5
74.07784461975098,36.5,15.0,1206.90625,1155.25
74.57823443412781,34.3,15.0,1208.9375,1135.15625
75.07858228683472,27.1,15.1,1214.15625,1145.921875
75.57893323898315,36.5,15.1,1214.515625,1145.671875
76.0792818069458,36.7,15.0,1211.0,1145.390625
76.57962012290955,36.5,15.0,1211.0,1145.921875
77.07995510101318,37.1,15.0,1208.21875,1145.734375
77.58400464057922,39.3,15.0,1208.515625,1145.359375
78.0844087600708,36.5,15.0,1211.328125,1145.828125
78.58493971824646,45.8,14.9,1200.90625,1163.6875
79.08534955978394,37.0,15.0,1205.796875,1173.34375
79.58575940132141,36.5,15.0,1205.546875,1173.75
80.08639001846313,36.5,14.9,1200.359375,1173.75
80.58693075180054,36.4,14.9,1201.25,1174.21875
81.08729410171509,36.0,14.9,1202.03125,1174.15625
81.58766460418701,37.5,15.0,1206.203125,1145.375
82.08802914619446,37.1,15.0,1207.375,1174.375
82.58839654922485,36.7,15.0,1207.78125,1144.96875
83.08873271942139,36.8,15.0,1208.171875,1145.859375
83.58906817436218,36.5,15.0,1206.828125,1145.78125
84.08942198753357,36.7,14.9,1204.703125,1145.375
84.58985257148743,31.3,15.0,1205.546875,1155.5
85.0902202129364,26.7,15.0,1206.484375,1156.71875
85.59059357643127,25.6,14.9,1204.21875,1156.75
86.09095764160156,26.1,14.9,1204.21875,1156.765625
86.59131717681885,25.6,14.9,1204.5625,1156.8125
87.0916817188263,26.0,14.9,1202.046875,1150.921875
87.59207558631897,27.5,14.9,1199.703125,1150.921875
88.09243512153625,25.4,14.9,1199.0,1150.921875
88.5927963256836,26.0,14.9,1198.375,1150.921875
89.09315824508667,26.0,14.8,1197.203125,1150.921875
89.59351706504822,26.0,14.8,1192.640625,1150.953125
90.09388518333435,26.0,14.8,1192.546875,1151.0
90.59425258636475,25.4,14.8,1191.390625,1151.25
91.09461045265198,26.0,14.8,1191.515625,1151.421875
91.59496879577637,26.4,14.8,1189.671875,1151.5625
92.09535241127014,25.3,14.8,1189.671875,1151.25
92.59575271606445,26.0,14.7,1188.46875,1151.25
93.09618926048279,25.4,14.4,1161.125,1132.21875
93.59654641151428,25.0,14.4,1159.328125,1132.3125
94.09695887565613,25.0,14.3,1153.25,1131.734375
