timestamp,elapsed_s,cpu_percent_total,proc_rss_mb,sys_mem_percent,disk_used_gb,disk_free_gb
2026-02-22 03:43:16,61.23,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:17,61.732,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:17,62.233,11.0,12.19,5.8,29.138,160.862
2026-02-22 03:43:18,62.735,10.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:18,63.237,10.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:19,63.739,10.3,12.19,5.8,29.138,160.862
2026-02-22 03:43:19,64.241,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:20,64.743,10.8,12.19,5.8,29.138,160.862
2026-02-22 03:43:20,65.245,11.6,12.19,5.8,29.138,160.862
2026-02-22 03:43:21,65.747,11.6,12.19,5.8,29.138,160.862
2026-02-22 03:43:21,66.248,10.3,12.19,5.8,29.138,160.862
2026-02-22 03:43:22,66.75,10.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:22,67.252,10.7,12.19,5.8,29.138,160.862
2026-02-22 03:43:23,67.756,10.3,12.19,5.8,29.138,160.862
2026-02-22 03:43:23,68.275,10.7,12.19,5.8,29.138,160.862
2026-02-22 03:43:24,68.777,11.2,12.19,5.8,29.138,160.862
2026-02-22 03:43:24,69.279,10.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:25,69.781,10.8,12.19,5.8,29.138,160.862
2026-02-22 03:43:25,70.284,12.7,12.19,5.8,29.138,160.862
2026-02-22 03:43:26,70.786,11.9,12.19,5.8,29.138,160.862
2026-02-22 03:43:26,71.288,15.1,12.19,5.8,29.138,160.862
2026-02-22 03:43:27,71.79,15.6,12.19,5.8,29.138,160.862
2026-02-22 03:43:27,72.291,16.0,12.19,5.8,29.138,160.862
2026-02-22 03:43:28,72.793,16.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:28,73.295,15.6,12.19,5.8,29.138,160.862
2026-02-22 03:43:29,73.797,15.9,12.19,5.8,29.138,160.862
2026-02-22 03:43:29,74.299,16.2,12.19,5.8,29.138,160.862
2026-02-22 03:43:30,74.801,16.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:30,75.303,15.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:31,75.805,16.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:31,76.306,15.2,12.19,5.8,29.138,160.862
2026-02-22 03:43:32,76.808,16.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:32,77.31,15.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:33,77.815,15.9,12.19,5.8,29.138,160.862
2026-02-22 03:43:33,78.317,16.6,12.19,5.8,29.138,160.862
2026-02-22 03:43:34,78.819,15.8,12.19,5.8,29.138,160.862
2026-02-22 03:43:34,79.32,16.2,12.19,5.8,29.138,160.862
2026-02-22 03:43:35,79.823,16.1,12.19,5.8,29.138,160.862
2026-02-22 03:43:35,80.324,16.6,12.19,5.8,29.138,160.862
2026-02-22 03:43:36,80.826,16.2,12.19,5.8,29.138,160.862
2026-02-22 03:43:36,81.328,16.3,12.19,5.8,29.138,160.862
2026-02-22 03:43:37,81.83,16.3,12.19,5.8,29.138,160.862
2026-02-22 03:43:37,82.332,15.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:38,82.834,16.1,12.19,5.8,29.138,160.862
2026-02-22 03:43:38,83.336,16.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:39,83.838,16.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:39,84.339,16.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:40,84.842,14.6,12.19,5.8,29.138,160.862
2026-02-22 03:43:40,85.343,16.0,12.19,5.8,29.138,160.862
2026-02-22 03:43:41,85.845,16.5,12.19,5.8,29.138,160.862
2026-02-22 03:43:41,86.347,16.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:42,86.849,14.8,12.19,5.8,29.138,160.862
2026-02-22 03:43:42,87.351,16.1,12.19,5.8,29.138,160.862
2026-02-22 03:43:43,87.853,15.2,12.19,5.8,29.138,160.862
2026-02-22 03:43:43,88.355,16.0,12.19,5.8,29.138,160.862
2026-02-22 03:43:44,88.856,14.9,12.19,5.8,29.138,160.862
2026-02-22 03:43:44,89.359,17.2,12.19,5.8,29.138,160.862
2026-02-22 03:43:45,89.86,17.0,12.19,5.8,29.138,160.862
2026-02-22 03:43:45,90.362,15.0,12.19,5.8,29.138,160.862
2026-02-22 03:43:46,90.864,14.7,12.19,5.8,29.138,160.862
2026-02-22 03:43:46,91.366,15.8,12.19,5.8,29.138,160.862
2026-02-22 03:43:47,91.868,15.4,12.19,5.8,29.138,160.862
2026-02-22 03:43:47,92.37,15.1,12.19,5.8,29.138,160.862
2026-02-22 03:43:48,92.872,16.1,12.19,5.8,29.138,160.862
2026-02-22 03:43:48,93.373,14.8,12.19,5.8,29.138,160.862
